Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
45,2.0,0.0,0.0,860.0,5.0,33.0,3270.0,0.1,13.807999999999993,0.0,0.0,539.7581236362457,,,,,,,,,,,,,,,,,,,,,3.7951273740686626,4.590580464055733,13.710167421330977,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,903.0,6.0,43.0,3313.0,0.1,18.807000000000027,0.0,0.0,543.848959684372,,,,,,,,,,,,,,,,,,,,,5.278417922219713,6.051510318805797,18.61724389990046,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,967.0,7.0,64.0,3377.0,0.1,51.00599999999999,0.0,0.0,549.7989060878754,,,,,,,,,,,,,,,,,,,,,21.20417334694593,16.562831456019175,49.748379917250055,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,1034.0,8.0,67.0,3444.0,0.1,47.105,0.0,0.0,556.0015864372253,,,,,,,,,,,,,,,,,,,,,18.983668926315573,14.675148458457437,45.9248980531451,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,1059.0,9.0,25.0,3469.0,0.1,9.705999999999994,0.0,0.0,558.8147757053375,,,,,,,,,,,,,,,,,,,,,2.682559257252434,3.292585049373623,9.658242846017881,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1271.0,10.0,212.0,3681.0,0.1,150.10699999999989,0.0,0.0,577.5398948192596,,,,,,,,,,,,,,,,,,,,,60.32060800272582,41.945169926366894,137.59408167268597,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1382.0,11.0,111.0,3792.0,0.1,56.30600000000003,0.0,0.0,587.5632653236389,,,,,,,,,,,,,,,,,,,,,23.260592289854134,14.565063089841253,53.83168379172587,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1426.0,12.0,44.0,3836.0,0.1,30.006000000000014,0.0,0.0,591.7492341995239,,,,,,,,,,,,,,,,,,,,,11.26472588510295,10.168717228482377,29.569461414422907,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1463.0,13.0,37.0,3873.0,0.1,13.60999999999999,0.0,0.0,595.3716351985931,,,,,,,,,,,,,,,,,,,,,3.3463115481748833,4.383129066451983,13.513199358234644,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1491.0,14.0,28.0,3901.0,0.1,12.705999999999994,0.0,0.0,598.437908411026,,,,,,,,,,,,,,,,,,,,,3.7479245470320444,4.358421976670121,12.626298082550123,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1521.0,15.0,30.0,3931.0,0.1,11.005999999999993,0.0,0.0,601.4855120182037,,,,,,,,,,,,,,,,,,,,,2.9570230380426494,3.568862534643241,10.939156683068177,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1620.0,16.0,99.0,4030.0,0.1,78.40699999999998,0.0,0.0,610.4281532764435,,,,,,,,,,,,,,,,,,,,,31.577111147965574,24.920292172238987,75.43165387244244,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1720.0,17.0,100.0,4130.0,0.1,70.20599999999999,0.0,0.0,619.4117968082428,,,,,,,,,,,,,,,,,,,,,27.454157692170963,21.04017507781258,67.59570805117724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1750.0,18.0,30.0,4160.0,0.1,14.704999999999995,0.0,0.0,622.3849325180054,,,,,,,,,,,,,,,,,,,,,4.608363749110677,4.997875728553307,14.595926344288916,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1784.0,19.0,34.0,4194.0,0.1,11.706999999999992,0.0,0.0,626.058952331543,,,,,,,,,,,,,,,,,,,,,3.0124408694848657,3.6903981746974894,11.627821024665824,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1905.0,20.0,121.0,4315.0,0.1,49.80900000000004,0.0,0.0,636.9494211673737,,,,,,,,,,,,,,,,,,,,,18.6544763241919,12.705656193370599,47.64705482737271,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,126.0,1.0,126.0,4441.0,0.1,99.70599999999999,0.0,0.0,839.838907957077,,,,,,,,,,,,,,,,,,,,,44.51185471162751,30.16845988495047,94.28598398832762,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,209.0,2.0,83.0,4524.0,0.1,40.80600000000002,0.0,0.0,847.398179769516,,,,,,,,,,,,,,,,,,,,,16.809305767113596,11.719139924663642,39.48976766689571,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,518.0,3.0,309.0,4833.0,0.1,248.90499999999992,0.0,0.0,874.3657419681549,,,,,,,,,,,,,,,,,,,,,103.66296062820895,63.29244439730686,217.30754294422903,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,755.0,4.0,237.0,5070.0,0.1,178.405,0.0,0.0,895.1918368339539,,,,,,,,,,,,,,,,,,,,,78.01983512716336,46.85889064024638,160.23460805636697,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,833.0,5.0,78.0,5148.0,0.1,48.205999999999996,0.0,0.0,902.3747961521149,,,,,,,,,,,,,,,,,,,,,18.89411168110983,14.514441574128242,46.825864191392036,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,885.0,6.0,52.0,5200.0,0.1,32.205,0.0,0.0,907.5068447589874,,,,,,,,,,,,,,,,,,,,,12.27490740259559,10.44899304974649,31.629933051234453,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,1317.0,7.0,432.0,5632.0,0.1,295.2070000000002,0.0,0.0,945.0663347244263,,,,,,,,,,,,,,,,,,,,,119.35249568497342,77.90532799684081,244.13474722379186,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,1492.0,8.0,175.0,5807.0,0.1,133.105,0.0,0.0,960.5610313415527,,,,,,,,,,,,,,,,,,,,,58.73129604608465,37.1198098026829,123.0730462113117,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,1719.0,9.0,227.0,6034.0,0.1,130.30999999999992,0.0,0.0,980.5203008651733,,,,,,,,,,,,,,,,,,,,,55.02937006060788,38.067834006034616,118.05432358909673,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1929.0,10.0,210.0,6244.0,0.1,141.30499999999984,0.0,0.0,999.229808807373,,,,,,,,,,,,,,,,,,,,,56.13848574177654,38.38489840306331,129.7753388966815,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,2088.0,11.0,159.0,6403.0,0.1,110.80499999999992,0.0,0.0,1013.3925983905792,,,,,,,,,,,,,,,,,,,,,47.49736717156216,29.93615644221751,103.45973462924547,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,2183.0,12.0,95.0,6498.0,0.1,57.90500000000001,0.0,0.0,1021.9797203540802,,,,,,,,,,,,,,,,,,,,,27.697839651280557,16.246778388984445,55.384418686081816,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,2229.0,13.0,46.0,6544.0,0.1,34.404999999999994,0.0,0.0,1026.420737028122,,,,,,,,,,,,,,,,,,,,,13.903574240793317,11.489031955926357,33.83306788763088,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,2266.0,14.0,37.0,6581.0,0.1,14.307999999999991,0.0,0.0,1030.0756509304047,,,,,,,,,,,,,,,,,,,,,3.658018993199856,4.624596421605974,14.201041178567564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,2302.0,15.0,36.0,6617.0,0.1,13.405999999999992,0.0,0.0,1033.8369076251984,,,,,,,,,,,,,,,,,,,,,3.522166755467618,4.245100092259228,13.30580029158605,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,2426.0,16.0,124.0,6741.0,0.1,84.20499999999993,0.0,0.0,1044.9956691265106,,,,,,,,,,,,,,,,,,,,,32.75622050458467,24.561339365204475,80.30375586540646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,2495.0,17.0,69.0,6810.0,0.1,51.706999999999994,0.0,0.0,1051.3093283176422,,,,,,,,,,,,,,,,,,,,,20.27110952257567,16.955363973371984,50.409061156193516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
